rank,uri,artist_names,track_name,source,peak_rank,weeks_on_chart,streams,country
50,spotify:track:3UhmuWcFaLS3AO3kI9ynQ2,AP Dhillon Shinda Kahlon Gurinder Gill Gminxr,Insane,RUN-UP RECORDS,12,64,50780,Pakistan
51,spotify:track:1s7oOCT8vauUh01PbJD6ps,Rema Selena Gomez,Calm Down (with Selena Gomez),Mavin Records / Jonzing World,6,48,49904,Pakistan
52,spotify:track:228BxWXUYQPJrJYHDLOHkj,Daddy Yankee,Gasolina,Gasolina Recording Co.,47,6,49239,Pakistan
53,spotify:track:6oU4lJaaBWARtNXDBLjnFb,Kaifi Khalil,Mansoob,Kaifi Khalil,29,7,48192,Pakistan
54,spotify:track:2l3dFxtoSMgMQVyRIUHjpz,Mitraz,Akhiyaan,Mitraz Records,6,63,47549,Pakistan
55,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,1,18,47395,Pakistan
56,spotify:track:2FCXQHugkoHE1K3tiDu8pu,Alka Yagnik Arijit Singh,"Agar Tum Saath Ho (From ""Tamasha"")",T-Series,28,64,46920,Pakistan
57,spotify:track:0v8UhUalYhCuq6fDEe9ijE,Talha Anjum Umair,Secrets,Young Stunners,26,23,46031,Pakistan
58,spotify:track:7MXVkk9YMctZqd1Srtv4MB,The Weeknd Daft Punk,Starboy,Universal Republic Records,31,64,45859,Pakistan
59,spotify:track:1WMImncoIZZ7Bz0Y6cZGVp,Ali Sethi Abdullah Siddiqui Maanu Shae Gill,Left Right,Ali Sethi,6,13,45743,Pakistan
60,spotify:track:5L3ecxQnQ9qTBmnLQiwf0C,Travis Scott Bad Bunny The Weeknd,K-POP,Cactus Jack/Epic,60,1,45488,Pakistan
61,spotify:track:6KvXpACADAz73IPrCgXobL,Mitraz,Alfaazo,Sony Music / Big Bang Records Pvt. Ltd.,46,20,44941,Pakistan
62,spotify:track:4ZVtid5khBfDx6Co0vTUE6,Jassa Dhillon thiarajxtt,SPAIN,Jassa Dhillon,22,25,44876,Pakistan
63,spotify:track:3GEiVoaUXq468gfYs2EPfh,DIVINE Sidhu Moose Wala,Chorni,DIVINE,20,3,44757,Pakistan
64,spotify:track:2FDTHlrBguDzQkp7PVj16Q,Dave Central Cee,Sprinter,Neighbourhood / Live Yours,64,8,43994,Pakistan
65,spotify:track:6biqkuWq069vByAEeGxZlr,Shubh,Her,SHUBH,19,35,43321,Pakistan
66,spotify:track:0NLkVxf0PyxsXBG3EuZcJf,Anuv Jain,Gul,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),17,64,43087,Pakistan
67,spotify:track:3P9pRL7V9yM9DhY6NGZjzA,ZAYN,Love Like This,ZAYN,67,1,43019,Pakistan
68,spotify:track:06LCamFUOtImIKi9mFRKiD,Pritam Arijit Singh Shreya Ghoshal Amitabh Bhattacharya,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Saregama,62,4,42564,Pakistan
69,spotify:track:5BKKKNwrebowaMoUdBaNby,King,Tu Aake Dekhle,Warner Music India,7,64,41465,Pakistan
70,spotify:track:0hOqMsscursarJjpcMgGgu,Hassan & Roshaan Shae Gill,Sukoon,Hassan & Roshaan,7,43,40919,Pakistan
71,spotify:track:5YtrM5tJX4DzS9TxFiVTmP,???? ?????,???? ?????,????? ??????,71,1,40280,Pakistan
72,spotify:track:6KtSNVgCmQEvDgIuHoXAkT,Azaan Sami Khan,Ik Lamha,AZEL RECORDS,6,64,39930,Pakistan
73,spotify:track:2fF8V1O1i1Y8s06FmJHJlz,Teya Dora,Džanum,Epic Local,73,5,39615,Pakistan
74,spotify:track:5ZCHWdMgsdoo78m9prkhOR,Rap Demon Talha Anjum Umair,Agency,High Zone Records,19,64,39368,Pakistan
75,spotify:track:6cdiviyVL3tFYE1eDcmUzL,Young Stunners Talha Anjum Talhah Yunus,Gumaan,Young Stunners,34,64,39140,Pakistan
76,spotify:track:741UUVE2kuITl0c6zuqqbO,Nicki Minaj Ice Spice Aqua,Barbie World (with Aqua) [From Barbie The Album],Atlantic Records,76,1,38650,Pakistan
77,spotify:track:6DefzsWqnwrFrmNVnJxWkS,Asim Azhar,Jo Tu Na Mila,Universal Music India Pvt Ltd.,30,64,38007,Pakistan
78,spotify:track:5Kq7fNPXz9AUXGHZqCF2FC,B Praak Jaani Nawazuddin Siddiqui,Yaar Ka Sataya Hua Hai,Universal Music India Pvt Ltd.,60,3,37898,Pakistan
79,spotify:track:58f4twRnbZOOVUhMUpplJ4,AP Dhillon Gminxr Gurinder Gill Shinda Kahlon,Brown Munde,Run-up Records,23,64,37482,Pakistan
80,spotify:track:0uSsibjt7ZjdRwHTJrqWOT,Atif Aslam,Moonrise,Tarish Music,17,39,37203,Pakistan
81,spotify:track:3nKQrVVlwbAQSnFbgZWdN0,Avvy Sra Karan Aujla Jaani,White Brown Black,Universal Music India Pvt Ltd.,38,32,36941,Pakistan
82,spotify:track:74kCarkFBzXYXNkkYJIsG0,Anuv Jain,Alag Aasmaan,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),50,64,36795,Pakistan
83,spotify:track:26b3oVLrRUaaybJulow9kz,Libianca,People,5K Records Limited,37,24,36373,Pakistan
84,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,Metro Boomin Future Don Toliver,Too Many Nights (feat. Don Toliver & with Future),Republic Records,84,22,36291,Pakistan
85,spotify:track:32FVH23yFXr8Z0sfjRw4It,AP Dhillon,Wo Noor,RUN-UP RECORDS,5,42,36127,Pakistan
86,spotify:track:2PcGqmKToUz0s65q1Acg7d,AP Dhillon Shinda Kahlon Gminxr,SPACESHIP,RUN-UP RECORDS,23,64,35418,Pakistan
87,spotify:track:1PfOAYwjTSYCskgSGdRfQw,Wali Bakhat Warraich,dilrubaa,4195914 Records DK,52,39,35070,Pakistan
88,spotify:track:0zlGnseLGzRIBA0TJcb3Bo,Yohani Jubin Nautiyal Tanishk Bagchi Rashmi Virag Surya Ragunaathan,"Manike (From ""Thank God"")",T-Series,25,45,34796,Pakistan
89,spotify:track:610keNiNVTIkYD0CqeSerg,Cheema Y Gur Sidhu,California Love,Brown Town Music,84,7,34247,Pakistan
90,spotify:track:2LCvypYL9a21Hln4A4EdWU,Abdul Hannan,Haaray,2636621 Records DK,11,64,34039,Pakistan
91,spotify:track:72zHuDxFQTjbL51qJQSA7j,Jasleen Royal B Praak Romy Anvita Dutt,"Ranjha (From ""Shershaah"")",Sony Music Entertainment India Pvt. Ltd.,31,64,34032,Pakistan
92,spotify:track:5Per9rl2ItpNoHilvbxLsB,Shubh,OG,SHUBH,87,10,33919,Pakistan
93,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,FIFTY FIFTY,Cupid - Twin Ver.,WM Korea,11,16,33448,Pakistan
94,spotify:track:5pcmtf1lwrMqmAWWm248fY,AP Dhillon Gurinder Gill,DESIRES,RUN-UP RECORDS,10,64,33438,Pakistan
95,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,95,43,33399,Pakistan
96,spotify:track:03yKEFruN3BS2coglBtt2N,Laddi Chahal Parmish Verma Gurlez Akhtar,Rubicon Drill,Parmish Verma Films,57,32,33318,Pakistan
97,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,97,5,32935,Pakistan
98,spotify:track:05sqcYfU2wMlKwPVJ0rotq,Young Stunners Talha Anjum Talhah Yunus,Afsanay,Young Stunners,32,64,32900,Pakistan
99,spotify:track:3mUkVsovIuscQlSoMhmAZt,Madhur Sharma Swapnil Tare Nusrat Fateh Ali Khan,Kali Kali Zulfon Ke (Lo-Fi),T-Series,24,46,32832,Pakistan
100,spotify:track:0CtZpaOhtzvLV3FfcsVpQo,Vishal-Shekhar Shilpa Rao Caralisa Monteiro Vishal Dadlani Shekhar Ravjiani Kumaar,"Besharam Rang (From ""Pathaan"")",YRF Music,2,33,32700,Pakistan
101,spotify:track:4FcknXDJ8yW2QYUl0cm6uJ,Imran Khan,Bewafa,Prestige Records,76,64,32688,Pakistan
102,spotify:track:0645eBDehHcqfiF15hscQV,Vishal Mishra Rashmeet Kaur,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Netflix Music,102,2,32685,Pakistan
103,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",Darkroom/Interscope Records,103,1,32231,Pakistan
104,spotify:track:0snQrp1VaY5Pj1YIHRJpRJ,Aditya A,Chaand Baaliyan,Sony Music Entertainment India Pvt. Ltd.,13,64,31172,Pakistan
105,spotify:track:2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,Let Me Down Slowly,2018,81,64,31080,Pakistan
106,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,60,64,30759,Pakistan
107,spotify:track:1smFN2CLqGROu0J0UyvDfL,Pritam Arijit Singh,Shayad,Sony Music Entertainment India Pvt. Ltd.,77,64,30151,Pakistan
108,spotify:track:5E17LNMDov8A01xUxK8Xaf,Maanu,4U,Yain,108,24,30145,Pakistan
109,spotify:track:6PV2wH5xgIpprrL2o3K7oZ,Nadeem Sarwar,Abbas Ka Nara,Royall Records,109,1,29928,Pakistan
110,spotify:track:7eQl3Yqv35ioqUfveKHitE,Pritam Mohit Chauhan,Tum Se Hi,T-Series,97,64,29780,Pakistan
111,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin The Weeknd 21 Savage,Creepin' (with The Weeknd & 21 Savage),Republic Records,14,34,29685,Pakistan
112,spotify:track:72H6G8v9xyuwdRBaTkoT5G,Gurinder Gill Shinda Kahlon AP Dhillon,Faraar,RUN-UP RECORDS,83,62,29652,Pakistan
113,spotify:track:4bjN59DRXFRxBE1g5ne6B1,Agust D,Haegeum,BIGHIT MUSIC,7,11,29566,Pakistan
114,spotify:track:2y0hUGvHaKm2p5xmJF4HBe,Arijit Singh,"Saware (From ""Phantom"")",T-Series,76,21,29544,Pakistan
115,spotify:track:0eFMbKCRw8KByXyWBw8WO7,Jung Kook,Still With You,BIGHIT MUSIC,16,4,29128,Pakistan
116,spotify:track:4uNxdQ1L4Xa52MWX864QhW,Pritam Arijit Singh Jonita Gandhi Ranveer Singh Madan Mohan Amitabh Bhattacharya,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Saregama,116,2,28992,Pakistan
117,spotify:track:3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Heat Waves,Polydor Records,14,64,28857,Pakistan
118,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,118,1,28738,Pakistan
119,spotify:track:5Odq8ohlgIbQKMZivbWkEo,Charlie Puth Jung Kook BTS,Left and Right (Feat. Jung Kook of BTS),Atlantic Records,6,56,28574,Pakistan
120,spotify:track:7AW4g4I9fPfUIyqtbsuAkM,AP Dhillon Gurinder Gill Gminxr,Droptop,RUN-UP RECORDS,49,64,28415,Pakistan
121,spotify:track:1y1rQTkWmrZdJmjwuK07GC,Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")",T-Series,105,60,28394,Pakistan
122,spotify:track:3k79jB4aGmMDUQzEwa46Rz,Olivia Rodrigo,vampire,Olivia Rodrigo PS,72,4,28340,Pakistan
123,spotify:track:0MbOLfDcGk8ROHJYXJHu5c,Badshah Karan Aujla Devika Badyal,Players,Universal Music India Pvt Ltd.,51,31,28338,Pakistan
124,spotify:track:5pQODzb8j3xMQ1qvrQXJvo,Mahalakshmi Iyer Hard Kaur Jassi,Laung Da Lashkara,T-Series,124,3,28109,Pakistan
125,spotify:track:0OsuHhPPArdFzJGuIAacnN,Raghav Tesher,Desperado,RAGHAV,89,7,28109,Pakistan
126,spotify:track:3JkVYvxNoGf2HCWJo61462,Sidhu Moose Wala Sunny Malton SOE,Never Fold,Sidhu Moose Wala,31,64,28043,Pakistan
127,spotify:track:6PSGzXHJaQogb2G8m8gGZZ,Yashraj Dropped Out Talwiinder,Dhundhala,Universal Music India Pvt. Ltd. (on behalf of Yashraj),8,64,27764,Pakistan
128,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,128,2,27759,Pakistan
129,spotify:track:2nUs7DZ4tV0NOtTTRxyfFj,SARRB Starboy X,Zulfaan,NorthWest Music,129,8,27717,Pakistan
130,spotify:track:5pebgx4IJ5YvZH2sYOHDRf,Barney Sku Taqiya Zaman,Your Eyes,Barney Sku,111,22,27705,Pakistan
131,spotify:track:5bnfUWFS4sVeWx1JLA3K9Z,Shubh,Ice,SHUBH,59,10,27624,Pakistan
132,spotify:track:7B4uYqxTpTOS1sgxFB9Ann,Sidhu Moose Wala Wazir Patar,The Last Ride,Sidhu Moose Wala,6,61,27601,Pakistan
133,spotify:track:1C6auFaK08OhOTJ8bfrAiG,The PropheC Ezu,Dilawara,PropheC Productions,110,8,27557,Pakistan
134,spotify:track:2uThc9fZx2BEL3t6uuRMO1,aleemrk Umair,Cold Hours,Independent,7,50,27426,Pakistan
135,spotify:track:2qgXrzJsry4KgYoJCpuaul,The Local Train,Choo Lo,The Local Train,135,4,27090,Pakistan
136,spotify:track:2nBdQVqfV2RFTSdcGfKsi7,Abdul Hannan Rovalio,Raabta,Abdul Hannan,18,24,27057,Pakistan
137,spotify:track:0rMeOAvbQZ2RTG4B6L1M4p,Darshan Raval,Asal Mein,Indie Music Label,118,9,26701,Pakistan
138,spotify:track:7cVe3mYMIfhOlz1NXFWv70,Sidhu Moose Wala,0 to 100,Sidhu Moose Wala,62,60,26567,Pakistan
139,spotify:track:5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,Syco Music,55,64,26519,Pakistan
140,spotify:track:4bD9z9qa4qg9BhryvYWB7c,Pritam Tochi Raina Rekha Bhardwaj,Kabira,T-Series,106,53,26479,Pakistan
141,spotify:track:7ouBSPZKQpm7zQz2leJXta,Arijit Singh,"Tum Hi Ho (From ""Aashiqui 2"")",T-Series,113,17,26411,Pakistan
142,spotify:track:3uDoFoiaVKn584XV77VWJN,Sadiq Hussain,Jaanam Fida-E-Haideri,Mauzeek,58,7,26304,Pakistan
143,spotify:track:6FAYpZ4jve8vpvTwUvjK6H,Vishal-Shekhar Arijit Singh Sukriti Kakar Vishal Dadlani Shekhar Ravjiani Kumaar,Jhoome Jo Pathaan,YRF Music,11,31,26268,Pakistan
144,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,23,64,26242,Pakistan
145,spotify:track:1hprJ4nFW7lyQbyi7RQnNj,Talha Anjum Umair,4AM in Karachi,Young Stunners,24,37,26208,Pakistan
146,spotify:track:0l1i3nJ4aDMk0inxnvzYTz,Imran Khan,Amplifier,Prestige Records,100,62,26101,Pakistan
147,spotify:track:5vGiuYFSGekGLgbxhV1rD5,Atif Aslam Pritam,Tu Jaane Na,Tips Industries Ltd,88,61,26032,Pakistan
148,spotify:track:1ZMq0qzXfGnFo7BN03yddJ,Arjun Kanungo King,Ilzaam (From the Album 'Industry'),One Mind Music,134,26,26028,Pakistan
149,spotify:track:4Tkb7zsDmsawB7S5TpKQV1,Atif Aslam Shiraz Uppal,Pehli Dafa,T-Series,93,60,26011,Pakistan
150,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,17,52,25917,Pakistan
151,spotify:track:5mnvugwfFYnJm9zuyGkgqF,Asim Azhar Zenab Fatimah Sultan,"Ghalat Fehmi - From ""Superstar""",Hum Films,25,64,25859,Pakistan
152,spotify:track:0loZn1c5heXie7OAtvK6nH,Jubin Nautiyal Rocky - Shiv,Humnava Mere,T-Series,88,59,25836,Pakistan
153,spotify:track:2rOnSn2piaqLAlYjtfUBlY,Tanishk Bagchi Jubin Nautiyal Asees Kaur,"Raataan Lambiyan (From ""Shershaah"")",Sony Music Entertainment India Pvt. Ltd.,51,63,25762,Pakistan
154,spotify:track:4SJMuaIYcBS8ke96lDYOsw,Karan Aujla,On Top,Karan Aujla Music,49,35,25652,Pakistan
155,spotify:track:7MTUN4bpk7Im3Sxz9oCULf,Kaifi Khalil Eva B Wahab Bugti,Kana Yaari,Giraffe Pakistan,17,64,25643,Pakistan
156,spotify:track:5M0pviz4op3uvRnKTnPoce,Talha Anjum Jokhay,Happy Hour,Young Stunners,28,23,25552,Pakistan
157,spotify:track:0XsGmcNuC4ExTbyv7bEeOE,Nadeem Sarwar,Haider e Karrar,Royall Records,157,1,25502,Pakistan
158,spotify:track:1iZLpuGMr4tn1F5bZu32Kb,Harrdy Sandhu,Bijlee Bijlee,Universal Music India Pvt Ltd.,20,64,25283,Pakistan
159,spotify:track:75Ak0cit8hV604Wjlq1gf2,Imran Khan,Aaja We Mahiya,Prestige Records,114,61,25232,Pakistan
160,spotify:track:2PvaburAUlhNHxVhw5lvOq,Arijit Singh,"Humdard (From ""Ek Villain"")",T-Series,82,54,25216,Pakistan
161,spotify:track:2ZD4aIEepqZsdxPxLSuUhm,Pritam Arijit Singh Amitabh Bhattacharya Nikhita Gandhi,Tere Pyaar Mein,T-Series,70,25,24967,Pakistan
162,spotify:track:60YICjIPdL7LDBcCMK0tAk,Sidhu Moose Wala Sunny Malton The Kidd,Levels,Sidhu Moose Wala,18,61,24890,Pakistan
163,spotify:track:2Fv2injs4qAm8mJBGaxVKU,Arijit Singh Mithoon,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",T-Series,85,63,24842,Pakistan
164,spotify:track:2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,INTERWORLD,116,29,24648,Pakistan
165,spotify:track:1A27G1hOLRBA0nKvakRZHI,Atif Aslam,Mangan Aiyaan,FREQUENCY MEDIA,37,9,24567,Pakistan
166,spotify:track:4Mh04VNolWA9g97ychP72l,Shubh,Offshore,SHUBH,51,64,24492,Pakistan
167,spotify:track:30SraUQbTd11TDrzkgeK4z,Abdul Hannan Shahmeer Raza Khan,Gawara,2636621 Records DK,31,40,24382,Pakistan
168,spotify:track:5yj7D4UllTkAccTmROibCQ,AP Dhillon Shinda Kahlon Gminxr,Final Thoughts,RUN-UP RECORDS,16,42,24300,Pakistan
169,spotify:track:2vPrBucKCfKmafHhSfJ2pt,Pritam Arijit Singh Amitabh Bhattacharya Charan,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",T-Series,83,24,24299,Pakistan
170,spotify:track:0FBQ4NrrHUbR9kus7rzrOj,Atif Aslam,Dil Diyan Gallan,YRF Music,99,38,24284,Pakistan
171,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,42,38,24128,Pakistan
172,spotify:track:2tjWCe2W7sgvS3C8NHcdtI,Akhil Dhvani Bhanushali Kunaal Vermaa,"Duniyaa (From ""Luka Chuppi"")",T-Series,108,62,24093,Pakistan
173,spotify:track:7FVgT8XjxUSfKuZuHxg316,Prince Narula Munawar Faruqui Rony Ajnali,Todh,EYP Creations,29,30,24012,Pakistan
174,spotify:track:2jt9VV6QGn0tbwkrr26OO6,AP Dhillon Shinda Kahlon Gminxr,Arrogant,RUN-UP RECORDS,99,52,23866,Pakistan
175,spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,Metro Boomin Travis Scott Young Thug,Trance (with Travis Scott & Young Thug),Republic Records,110,19,23805,Pakistan
176,spotify:track:2p8IUWQDrpjuFltbdgLOag,The Weeknd,After Hours,Republic Records,118,40,23760,Pakistan
177,spotify:track:03hJuEQpEQERrHpjcXKWzJ,Mithoon Arijit Singh Manoj Muntashir,"Tumhe Kitna Pyaar Karte (From ""Bawaal"")",T-Series,136,3,23725,Pakistan
178,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,72,64,23543,Pakistan
179,spotify:track:7mSzDKajY2wUtstQSLdzMK,Mohit Chauhan Rochak Kohli,Rang Lageya,Saregama,68,32,23469,Pakistan
180,spotify:track:7cWnks0lsRtpAi87COOiXK,Salim–Sulaiman Rahat Fateh Ali Khan Jaideep Sahni,O Re Piya,YRF Music,63,63,23282,Pakistan
181,spotify:track:1odExI7RdWc4BT515LTAwj,David Kushner,Daylight,Miserable Music Group LLC,181,2,23033,Pakistan
182,spotify:track:4wIWWEhbdgKAxhR68eE0Ye,Arijit Singh Chinmayi,"Mast Magan (From ""2 States"")",T-Series,135,14,22873,Pakistan
183,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,65,64,22834,Pakistan
184,spotify:track:32LKwbmh6yVsWoRRF8DIvf,Pav Dharia,Na Ja,Ishtar-White Hill Music,78,62,22745,Pakistan
185,spotify:track:1FEiijYPJtyswChfcpv3p0,Lana Del Rey,Summertime Sadness,Polydor Records,185,1,22731,Pakistan
186,spotify:track:4JvziZ2kQsbzfvRQtpYfmJ,Sunny Yaduvanshi AK Rok Nitesh Ujoli,Yadav Brand 2,Flame Music,186,1,22626,Pakistan
187,spotify:track:48Ix6ReYdJf2H4mKb3TIpj,Atif Aslam Alisha Chinai Pritam,Tera Hone Laga Hoon,Tips Industries Ltd,75,64,22511,Pakistan
188,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,8,64,22437,Pakistan
189,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,60,35,22332,Pakistan
190,spotify:track:6xIhjZX1ZtFIXg1IDa3DAi,Asim Azhar Shae Gill,Bulleya,Universal Music Group,50,9,22257,Pakistan
191,spotify:track:7v0t3o17J796y9OG2n3ebl,B Praak Jaani,Kya Loge Tum,Universal Music India Pvt Ltd.,62,10,22068,Pakistan
192,spotify:track:43YkTTlOD203o9E5ZxhUjF,Arijit Singh,"Main Dhoondne Ko Zamaane Mein (From ""Heartless"")",T-Series,103,63,21980,Pakistan
193,spotify:track:2NmBCDkjvJVvEZkH5QDOeb,Varinder Brar Rav Dhaliwal Ultra Beats,Thaa,Varinder Brar Music,81,15,21972,Pakistan
194,spotify:track:1RDvyOk4WtPCtoqciJwVn8,Jung Kook BTS FIFA Sound,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,2,33,21885,Pakistan
195,spotify:track:0u2P5u6lvoDfwTYjAADbn4,Billie Eilish Khalid,lovely (with Khalid),Darkroom,87,63,21607,Pakistan
196,spotify:track:37F0uwRSrdzkBiuj0D5UHI,The Weeknd,Reminder,Universal Republic Records,72,21,21464,Pakistan
197,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Big Machine Records LLC,188,4,21381,Pakistan
198,spotify:track:2D9mO7arRSeHAEHNVAacaA,Jung Kook Latto,Seven (feat. Latto) (Instrumental),BIGHIT MUSIC,60,2,21375,Pakistan
199,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,Stephen Sanchez Em Beihold,Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,73,28,21138,Pakistan
200,spotify:track:4VosVUajzm6nzGlSb6nP3L,Parmish Verma Paradox,Check It Out,SDA Studios,200,1,21075,Pakistan
1,spotify:track:7ABLbnD53cQK00mhcaOUVG,Myke Towers,LALA,WEA Latina,1,5,193517,Panama
2,spotify:track:7x9aauaA9cu6tyfpHnqDLo,Jung Kook Latto,Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,2,2,159583,Panama
3,spotify:track:5IWsYLhoYS1kTaMh2bVnhz,SMILE BEATS Valentino GRM JEYSON,Tu Chacal,GRM Records,1,14,121294,Panama
4,spotify:track:6XbtvPmIpyCbjuT0e8cQtp,Quevedo,Columbia,Quevedo,4,3,119973,Panama
5,spotify:track:7ro0hRteUMfnOioTFI5TG1,Bad Bunny,WHERE SHE GOES,Rimas Entertainment LLC,1,10,102819,Panama
6,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,Feid Young Miko,CLASSY 101,UMLE - Latino,2,17,102179,Panama
7,spotify:track:4eMKD8MRroxCqugpsxCCNb,Tainy Bad Bunny,MOJABI GHOST,NEON16 LLC,1,4,96388,Panama
8,spotify:track:6vIAesoAJNm0g3mPN8EXpB,Anyuri LH JEYSON Valentino GRM,La Maco,LH Music & Company / ExpertoMusic507,6,6,91402,Panama
9,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,Grupo Frontera Bad Bunny,un x100to,Rimas Entertainment LLC.,1,15,89291,Panama
10,spotify:track:4PA1wK0leCjmRZlP5dQ8Lv,Sky Rompiendo Feid Myke Towers,El Cielo,Sony Music Latin,2,8,82511,Panama
11,spotify:track:5h4mgbGijQ2CXMNuF4c4rW,Haquil Valentino GRM SMILE BEATS JEYSON,La Ruta,GRM Records y MK5,11,9,81773,Panama
12,spotify:track:0mMsceNQlCGM9F400l5FOd,LH Italian Somali Robi Guid SMILE BEATS Johnny Jey B,Noche de gala,LH MUSIC & COMPANY,6,16,80712,Panama
13,spotify:track:505v13epFXodT9fVAJ6h8k,KAROL G,AMARGURA,Universal Music Latino,13,22,79499,Panama
14,spotify:track:5L3ecxQnQ9qTBmnLQiwf0C,Travis Scott Bad Bunny The Weeknd,K-POP,Cactus Jack/Epic,14,1,78561,Panama
15,spotify:track:0JJ074OaMdofBdF5DRqOVr,Nerry Money BARBEL,Vicio,MK5,9,16,72215,Panama
16,spotify:track:1zsPaEkglFvxjAhrM8yhpr,Ozuna Feid,Hey Mor,Aura Music Corp.,3,42,71433,Panama
17,spotify:track:0PB0O24JqAuNdOAFVJljMS,Eladio Carrion Bad Bunny,Coco Chanel,Rimas Entertainment LLC,1,19,70396,Panama
18,spotify:track:2UW7JaomAMuX9pZrjVpHAU,Yng Lvcas Peso Pluma,La Bebe - Remix,WM Mexico,5,18,69262,Panama
19,spotify:track:4FAKtPVycI4DxoOHC01YqD,Yandel Feid,Yandel 150,La Leyenda LLC,1,31,66240,Panama
20,spotify:track:3qQbCzHBycnDpGskqOWY0E,Eslabon Armado Peso Pluma,Ella Baila Sola,DEL Records,1,19,65790,Panama
21,spotify:track:7JHUlJCUhUvMLNGsrDf4K1,Robi Guid Lh Da Produzza,Mojaita,DPMG INC.,12,26,65690,Panama
22,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,KAROL G Shakira,TQG,Universal Music Latino,1,22,62266,Panama
23,spotify:track:7EpOXgSRgnglRWr86pZfGU,KAROL G,S91,Bichota/Interscope Records,23,2,61228,Panama
24,spotify:track:2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,UMLE - Latino,4,49,60994,Panama
25,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,1,60,59690,Panama
26,spotify:track:270ZMuPkTL02DYyG2ntJv2,DJ Ledezz Andiex Akim,Ya Ni Se,Boyz N The Hood,26,5,58046,Panama
27,spotify:track:2nl5JkOfrjVSYQY9rVZl4N,BARBEL,La del Tik Tok,MK5 / Maxvision,10,23,56501,Panama
28,spotify:track:4iRHjxLojZsyclcODm5NOv,BARBEL,Casaya,Jovenes Millonario,8,29,56070,Panama
29,spotify:track:5NhLA2P7AiV3cloVmwtwLS,Tainy Arcángel Jhayco Myke Towers Omar Courtz Arca,PASIEMPRE,NEON16 LLC,3,4,55344,Panama
30,spotify:track:3k3NWokhRRkEPhCzPmV8TW,Bad Bunny Bomba Estéreo,Ojitos Lindos,Rimas Entertainment LLC,1,64,53210,Panama
